epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.015483523444165242,0.996452790818988,0.9964523969464395,0.0008289671960332086,1.0,1.0
2,0.013964684992227465,0.9961398017736046,0.9961398626902911,0.0005053621399745253,1.0,1.0
3,0.013868451831767383,0.9965571205007825,0.9965567757558871,0.0008994394362390972,1.0,1.0
4,0.01224377216886534,0.9976004173187272,0.9976003347892765,0.006078047420553587,0.9985185185185185,0.9985185112025246
5,0.011677165891058537,0.9973917579551382,0.9973917898020921,0.005265883766775835,0.9965432098765432,0.9965409391073453
6,0.010453566665600001,0.9970787689097548,0.9970784243687797,9.722935419786631e-05,1.0,1.0
7,0.010967923398647347,0.9977047470005217,0.9977047468574366,0.00024503423550480943,1.0,1.0
8,0.01159505351523329,0.9971830985915493,0.9971830973491919,0.0022447403018955293,1.0,1.0
9,0.01162149115366838,0.9974960876369328,0.997496038620089,0.0005316826030267057,1.0,1.0
10,0.009539488271580441,0.9974960876369328,0.9974960217155903,0.0001948218925045353,1.0,1.0
