epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.6683109934714292,0.7974960876369327,0.7966562701274184,0.13192839195330938,0.9777777777777777,0.9778968904231964
2,0.150318570442043,0.9571205007824726,0.9573380618966533,0.05890186070706006,0.9837037037037037,0.9836955001081155
3,0.11159243089772167,0.9702660406885759,0.9703490913787793,0.04461717992331143,0.9911111111111112,0.9911304279421019
4,0.1000769160104936,0.9702660406885759,0.9703239293372571,0.043152220778305224,0.9896296296296296,0.9896457918211558
5,0.09138154477487334,0.971830985915493,0.9718964478346432,0.03574802847924056,0.9881481481481481,0.9881677553027112
6,0.08592830575501229,0.9727699530516432,0.9728082183760489,0.03390654740579151,0.9896296296296296,0.9896427251610178
7,0.08428392850084111,0.9743348982785602,0.9743849943296831,0.03290162777873101,0.9896296296296296,0.9896427251610178
8,0.08014615221482488,0.9758998435054773,0.9759415995257307,0.032115566486285795,0.9896296296296296,0.9896427251610178
9,0.07777733135391289,0.9784037558685446,0.9784278154642311,0.031209835080360925,0.9896296296296296,0.989636097259725
10,0.07182410963124512,0.9790297339593115,0.979070683157676,0.029243698644417303,0.9911111111111112,0.9911176735577844
11,0.06627734650352005,0.9805946791862284,0.9806176831633734,0.026194502158021486,0.9911111111111112,0.9911176735577844
12,0.06317948872028195,0.9812206572769953,0.9812415350819612,0.02638769636792993,0.9911111111111112,0.9911176735577844
13,0.06052999909448325,0.9805946791862284,0.9806111800803725,0.023363006683066487,0.9896296296296296,0.9896427251610178
14,0.06266941110572904,0.9815336463223787,0.9815619608240137,0.022682866988772594,0.9940740740740741,0.9940805855030188
15,0.059739871019955156,0.9805946791862284,0.9806082428226642,0.021904297627646615,0.9940740740740741,0.9940805855030188
16,0.052293514652128135,0.985602503912363,0.9856148204046061,0.028490773480109595,0.9911111111111112,0.9911141479237063
17,0.05438356563938616,0.9837245696400626,0.9837440040141417,0.028484855027593396,0.9881481481481481,0.9881244559915247
18,0.0498703051142756,0.9849765258215962,0.9849940634885641,0.02393786931651886,0.9911111111111112,0.9911141479237063
19,0.04691502327603727,0.9852895148669797,0.9852989438006253,0.018639754682986273,0.9925925925925926,0.9925991550392658
20,0.04893011043609028,0.984037558685446,0.9840444583658859,0.01882100179446516,0.9955555555555555,0.9955620087457393
