epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.013944740101603695,0.9970787689097548,0.9970784406578398,3.5552653266677225e-05,1.0,1.0
2,0.01698807923661942,0.9965571205007825,0.9965572659946441,0.0018111793512951319,0.9995061728395062,0.9995061725685446
3,0.012879032329064694,0.9965571205007825,0.9965569236361472,0.00034647183984850053,1.0,1.0
4,0.011628385457514125,0.9971830985915493,0.9971831459569399,0.0004353730985535493,1.0,1.0
5,0.011676848483547966,0.9965571205007825,0.9965568752658567,0.0005477910103667298,1.0,1.0
6,0.011384246087992947,0.9977047470005217,0.9977047141931655,0.0004378028204276537,1.0,1.0
7,0.011224872874221196,0.9973917579551382,0.9973917897176757,0.0001710919953058782,1.0,1.0
8,0.010412275083312045,0.9977047470005217,0.9977044506286642,8.779256831325884e-05,1.0,1.0
9,0.013624731431629018,0.9965571205007825,0.9965569402392987,0.0002798590019858553,1.0,1.0
10,0.011253515026346226,0.9974960876369328,0.9974958909974189,0.0006147182194752217,1.0,1.0
11,0.011355901896560308,0.9969744392279604,0.9969742757635199,0.0011014120993786492,0.9995061728395062,0.9995061725685446
12,0.010052758625563502,0.9974960876369328,0.9974960541598428,0.0006411035595760669,0.9995061728395062,0.9995061725685446
13,0.008561282473598145,0.9974960876369328,0.9974960217973532,0.0002152023600619043,1.0,1.0
14,0.00983773297431063,0.9974960876369328,0.9974959077969646,0.0037598924218180422,0.9995061728395062,0.9995061725685446
15,0.010182117953093761,0.9972874282733437,0.9972875746137277,0.00034190878067521326,1.0,1.0
